目录ID,信息资源名称,目标表,数据库IP,对应处室,分类,需求依据,说明
112,海南省粮食生产统计信息,O_HN065_SJSN_FOOD,172.25.111.6,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
113,数字三农知识库信息,O_HN065_SJSN_TBL_PLATFORM_KNOWLEDGE_LIBRARY_INFO,172.25.111.6,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
115,海南省番薯生产统计信息,SWEET_POTATOES,172.25.111.6,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
117,海南省油料生产统计信息,O_HN065_SJSN_OLI,172.25.111.6,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
119,海南省产权改革统计信息,O_HN065_SJSN_AGRO_ECO_RIGHT,172.25.111.6,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
121,海南农民专业合作社信息,SS_SYS_DICT,172.25.111.6,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
122,种植检测报告数据信息,O_HN065_SJSN_T_MARA_CHECK_REPORT,172.25.111.6,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
123,农业防灾减灾防疫奖励信息,O_HN065_SJSN_TBL_DISASTER_REWARD_ANALYSIS_DAT,172.25.111.6,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
124,农业防灾减灾病虫害数据信息,O_HN065_SJSN_TBL_DISASTER_PREVENTION_ANALYSIS_DAT,172.25.111.6,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
126,海南省生猪规模养殖场信息,AGRO_PLAN_PIGFORM_B,172.21.128.23,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
127,海南省撂荒地恢复生产情况统计信息,O_HN065_SJSN_LAND_RESTORE,172.25.111.6,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
131,领导视窗_农村产权交易信息,TB_EQUITY_TRANS,172.21.199.156,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
135,领导视窗_产权改革信息,AGRO_ECO_RIGHT,172.21.199.156,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
137,领导视窗_油料生产信息,OLI,172.21.199.156,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
138,领导视窗_家庭农场统计信息,AGRO_PLAN_FAMILY_FARM_B,172.21.199.156,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
139,领导视窗_乡镇政府数信息,TB_BIG_TOWN,10.111.162.138,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
142,领导视窗_豆类生产信息,BEANS,172.21.199.156,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
143,领导视窗_乡村总户数信息,AGRO_ECO_RURAL_P,172.21.199.156,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
144,领导视窗_市县发包承包数信息,TB_RURAL_MANAGE,172.21.199.156,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
145,领导视窗_农民专业合作社信息,SS_SYS_DICT,172.21.199.156,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
146,领导视窗_检疫出证实时情况（产品B）信息,V_CP_CHUZHENG_B,172.21.199.156,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
148,领导视窗_养殖面积信息,FISHERY_RES_FARMING_AREA,172.21.199.156,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
149,领导视窗_村民委员会信息,AGRO_ECO_RURAL_B,10.111.162.133,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
150,领导视窗_两品一标（地理标志）信息,MP_GEO_MARK,172.21.199.156,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
152,领导视窗_出岛情况（地图）信息,PLR_DETECT_REPORT_INFO,172.21.199.156,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
153,领导视窗_出岛情况（地图2）信息,PLR_DETECT_PRODUCT_INFO2,172.21.199.156,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
154,领导视窗_检疫出证实时情况（动物B）信息,V_CD_CHUZHENG_B,172.21.199.156,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
156,领导视窗_中晚稻生产信息,RICE_LATE,172.21.199.156,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
157,领导视窗_撂荒地复耕信息,LAND_RESTORE,172.21.199.156,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
158,领导视窗_两品一标（绿色食品）信息,MP_GREEN_FOOD,172.21.199.156,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
159,领导视窗_番薯生产信息,SWEET_POTATOES,172.21.199.156,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
160,领导视窗_农业品牌信息,TB_BIG_BRAND,172.21.199.156,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
161,领导视窗_粮食生产信息,FOOD,172.21.199.156,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
162,领导视窗_热带水果生产信息,FRUIT,172.21.199.156,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
164,领导视窗_检疫出证实时情况（产品A）信息,V_CP_CHUZHENG_A,172.21.199.156,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
167,领导视窗_检疫出证实时情况（动物A）信息,V_CD_CHUZHENG_A,172.21.199.156,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
169,领导视窗_港口出岛车辆分布信息,LS_RES_VEHICLE,172.21.199.156,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
171,领导视窗_种植业种类产量信息,TB_BIG_PLANT,172.21.199.156,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
173,领导视窗_经营权证承包地面积信息,AGRO_ECO_CONTRACT_C,172.21.199.156,,二期预留,未命中强需求域,共享目录存在，但当前需求JSON未给出足够直接的消费依据，先归预留
5,海南省农业种业引种备案信息,O_HN065_SJSN_TBL_SEED_CROP_VARIETY_INTRODUCTION_INFO,172.25.111.6,种业管理处,不采,排除域:种业,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
7,海南省种子生产经营企业信息,TBL_SEED_CROP_ENTERPRISE_INFO,10.111.162.133,种业管理处,不采,排除域:种子,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
8,海南省农业种业畜禽遗传资源库信息,O_HN065_SJSN_TBL_SEED_LIVESTOCK_RESOURCES_INFO,172.25.111.6,省畜牧技术推广总站,不采,排除域:畜禽/种业,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
9,水产种子资源信息,YY_WATER_PRODUCT_SEED_SOURCE,172.25.111.6,水产养殖处,不采,排除域:种子/水产,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
12,水产农事信息,O_HN065_SJSN_T_FARM_AQUATIC_RECORD,172.25.111.6,农产品质量安全监管处,不采,排除域:水产,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
13,海南省农业种业境外引进种质资源信息,TBL_SEED_LIVESTOCK_INTRODUCTION_INFO,172.25.111.6,省畜牧技术推广总站,不采,排除域:种业,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
15,海南省驯养繁殖许可证信息,O_HN065_SJSN_YY_DOMESTIC_BREEDING_LICENSE,172.25.111.6,渔业基础建设处,不采,排除域:驯养繁殖,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
16,海南省农作物品种行业信息,O_HN065_SJSN_TBL_SEED_CROP_VARIETY_INDUSTRY_INFO,172.25.111.6,种业管理处,不采,排除域:品种,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
17,海南省农业种业人员信息,O_HN065_SJSN_TBL_SEED_CROP_ORG_USER_INFO,172.25.111.6,种业管理处,不采,排除域:种业,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
18,海南省农业种业品种审定信息,TBL_SEED_CROP_VARIETY_EXAMINED_INFO,172.25.111.6,种业管理处,不采,排除域:种业/品种,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
21,肥料使用情况信息,AGRO_FERTILIZER_USE,172.21.128.23,种植业管理处,不采,排除域:肥料,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
23,海南省野生动物经营利用许可证信息,O_HN065_SJSN_YY_BUSINESS_LICENSE,172.25.111.6,,不采,排除域:野生动物,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
28,海南省种畜禽生产经营企业信息,O_HN065_SJSN_TBL_SEED_LIVESTOCK_ENTERPRISE_INFO,172.25.111.6,,不采,排除域:种畜禽/畜禽,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
30,基层种子管理机构信息,O_HN065_SJSN_TBL_SEED_CROP_ORG_INFO,172.25.111.6,,不采,排除域:种子,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
31,肥料销售情况信息,AGRO_FERTILIZER_SALE,172.21.128.23,,不采,排除域:肥料,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
33,海南省农产品种植主体信息,AGRO_PLANT_MAIN,172.21.128.23,,不采,排除域:品种,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
41,海南省畜禽遗传资源基因库信息,O_HN065_SJSN_TBL_SEED_LIVESTOCK_GENE_INFO,172.25.111.6,,不采,排除域:畜禽,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
42,海南省渔港信息,O_HN065_SJSN_YY_FISHING_PORT,172.25.111.6,,不采,排除域:渔港,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
45,休渔制度信息,O_HN065_SJSN_YY_FISHING_RULES,172.25.111.6,,不采,排除域:休渔,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
49,海南省农业种业品种认定信息,O_HN065_SJSN_TBL_SEED_CROP_VARIETY_IDENTIFY_INFO,172.25.111.6,,不采,排除域:种业/品种,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
50,海南省种子质量检测机构信息,O_HN065_SJSN_TBL_SEED_CROP_QUALITY_INSPECTION_INFO,172.25.111.6,,不采,排除域:种子,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
52,海南省农业种业测序数据库信息,O_HN065_SJSN_TBL_SEED_LIVESTOCK_SEQUENCE_INFO,172.25.111.6,,不采,排除域:种业,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
54,海南省农业种业品种登记信息,O_HN065_SJSN_TBL_SEED_CROP_VARIETY_REGISTER_INFO,172.25.111.6,,不采,排除域:种业/品种,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
61,农药数据信息,O_HN065_SJSN_T_MINI_PESTICIDE1,172.25.111.6,,不采,排除域:农药,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
62,农业防灾减灾疫苗接种信息,O_HN065_SJSN_TBL_DISASTER_VACCINES_ANALYSIS_DAT,172.25.111.6,,不采,排除域:疫苗,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
69,合格证查验记录数据信息,O_HN065_SJSN_T_MARA_QUALIFIEDCERT_INSPECT,172.25.111.6,,不采,排除域:合格证,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
71,海南省早稻生产统计信息,RICE_EARLY,10.111.162.138,,不采,排除域:早稻,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
74,海南省瓜菜生产统计信息,O_HN065_SJSN_MELON,172.25.111.6,,不采,排除域:瓜菜,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
75,合格证产品销售数据信息,O_HN065_SJSN_T_MARA_SALE,172.25.111.6,,不采,排除域:合格证,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
76,海南省热带经济作物生产统计信息,O_HN065_SJSN_419250AD_2790_6247_8D37_0A5B31A9B063,172.25.111.6,,不采,排除域:热带经济作物,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
92,海南省农产品质量安全合格证开具数量信息,O_HN065_SJSN_QS_RES_CERTIFICATE,172.25.111.6,,不采,排除域:合格证,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
101,海南省农产品合格证数据信息,O_HN065_SJSN_T_MARA_QUALIFIEDCERT,172.25.111.6,,不采,排除域:合格证,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
103,海南省农产品质量安全合格证主体信息,O_HN065_SJSN_QS_RES_CERTIFICATE_DETAIL,172.25.111.6,,不采,排除域:合格证,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
108,海南省农产品合格证编号表信息,O_HN065_SJSN_T_MARA_QUALIFIEDCERT_EXTEND,172.25.111.6,,不采,排除域:合格证,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
116,海南省农产品质量安全合格证打印信息,O_HN065_SJSN_QS_RES_CERTIFICATE_PRINT,172.25.111.6,,不采,排除域:合格证,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
118,水产检测报告数据信息,O_HN065_SJSN_T_MARA_CHECK_REPORT_AQUATIC,172.25.111.6,,不采,排除域:水产,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
120,水产检测报告明细数据信息,O_HN065_SJSN_T_MARA_CHECK_REPORT_AQUATIC_ITEM,172.25.111.6,,不采,排除域:水产,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
125,海南省农产品合格证产品信息,O_HN065_SJSN_T_MARA_QUALIFIEDCERT_PRO,172.25.111.6,,不采,排除域:合格证,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
130,领导视窗_种业信息,TB_BIG_SEED,172.21.199.156,,不采,排除域:种业,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
133,领导视窗_主要水产苗种信息,FISHERY_RES_AQUATIC_FRY,172.21.199.156,,不采,排除域:水产,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
134,领导视窗_早稻生产信息,RICE_EARLY,172.21.199.156,,不采,排除域:早稻,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
136,领导视窗_渔业船舶统计、休闲渔业信息,FISHERY_RES_COMMON,172.21.199.156/10.111.162.133,,不采,排除域:渔业,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
141,领导视窗_冬春瓜菜生产信息,MELON,172.21.199.156,,不采,排除域:瓜菜,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
147,领导视窗_合格证主体信息,QS_RES_CERTIFICATE_DETAIL,172.21.199.156,,不采,排除域:合格证,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
151,领导视窗_渔业生产信息,FISHERY_RES_AQUATIC_YIELD,172.21.199.156,,不采,排除域:渔业,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
155,领导视窗_合格证打印信息,QS_RES_CERTIFICATE_PRINT,172.21.199.156,,不采,排除域:合格证,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
163,领导视窗_农林牧渔业总产值信息,AGRO_PROD_MACRO_INDICES,10.111.162.133LDJSC,,不采,排除域:渔业,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
165,领导视窗_热带经济作物生产信息,CROP,172.21.199.156,,不采,排除域:热带经济作物,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
166,领导视窗_渔业总产值信息,FISHERY_RES_EMONOMIC_OUTPUT,172.21.199.156,,不采,排除域:渔业,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
168,领导视窗_渔业乡镇、村、户、人口情况信息,FISHERY_RES_DISTRIBUTION,172.21.199.156,,不采,排除域:渔业,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
170,领导视窗_渔业产量TOP10信息,TB_BIG_FISHERY,10.111.162.138,,不采,排除域:渔业,需求JSON未体现该行业专题的直接消费场景，当前一期不纳入采集
