目录ID,信息资源名称,所属系统名称,对应处室,目标表,标准化表名,数据库所在IP地址,共享属性,开放属性,是否已挂接,PDF匹配页,提取建议
1,一户一档农户补贴信息,海南数字“三农”服务平台（一期）,农村合作经济指导处,O_HN065_SJSN_TBL_CMS_SUBSIDY_DAT,tbl_cms_subsidy_dat,172.25.111.6,有条件共享,有条件开放,已挂接,204,可直接纳入首批采集，优先按表全量+增量策略实现
2,海南省农产品滞销信息,海南数字“三农”服务平台（一期）,市场与信息化处,O_HN065_SJSN_TBL_PLATFORM_FARM_PRODUCTS_DAT,tbl_platform_farm_products_dat,172.25.111.6,有条件共享,有条件开放,已挂接,5,可直接纳入首批采集，优先按表全量+增量策略实现
3,一户一档家庭成员信息,海南数字“三农”服务平台（一期）,农村合作经济指导处,O_HN065_SJSN_TBL_CMS_FAMILY_MEMBER_DAT,tbl_cms_family_member_dat,172.25.111.6,有条件共享,不予开放,已挂接,198,可直接纳入首批采集，优先按表全量+增量策略实现
4,乡村治理三会一课信息,海南数字“三农”服务平台（一期）,农村合作经济指导处,O_HN065_SJSN_TBL_RURALGOVERNANCE_PARTY_MEETING_MANAGE_DAT,tbl_ruralgovernance_party_meeting_manage_dat,172.25.111.6,有条件共享,有条件开放,已挂接,142,可直接纳入首批采集，优先按表全量+增量策略实现
5,海南省农业种业引种备案信息,海南数字“三农”服务平台（一期）,种业管理处,O_HN065_SJSN_TBL_SEED_CROP_VARIETY_INTRODUCTION_INFO,tbl_seed_crop_variety_introduction_info,172.25.111.6,有条件共享,有条件开放,已挂接,92,可直接纳入首批采集，优先按表全量+增量策略实现
6,一村一档文体设施信息,海南数字“三农”服务平台（一期）,农村合作经济指导处,O_HN065_SJSN_TBL_VILLAGEFILE_SPORTS_FACILITY_DAT,tbl_villagefile_sports_facility_dat,172.25.111.6,有条件共享,有条件开放,已挂接,140,可直接纳入首批采集，优先按表全量+增量策略实现
7,海南省种子生产经营企业信息,海南数字“三农”服务平台（一期）,种业管理处,TBL_SEED_CROP_ENTERPRISE_INFO,tbl_seed_crop_enterprise_info,10.111.162.133,有条件共享,有条件开放,已挂接,88,可直接纳入首批采集，优先按表全量+增量策略实现
8,海南省农业种业畜禽遗传资源库信息,海南数字“三农”服务平台（一期）,省畜牧技术推广总站,O_HN065_SJSN_TBL_SEED_LIVESTOCK_RESOURCES_INFO,tbl_seed_livestock_resources_info,172.25.111.6,有条件共享,有条件开放,已挂接,97,可直接纳入首批采集，优先按表全量+增量策略实现
9,水产种子资源信息,海南数字“三农”服务平台（一期）,水产养殖处,YY_WATER_PRODUCT_SEED_SOURCE,yy_water_product_seed_source,172.25.111.6,有条件共享,不予开放,已挂接,87,可直接纳入首批采集，优先按表全量+增量策略实现
10,一户一档农户档案信息,海南数字“三农”服务平台（一期）,农村合作经济指导处,O_HN065_SJSN_TBL_CMS_USER_ARCHIVES_MANAGE_DAT,tbl_cms_user_archives_manage_dat,172.25.111.6,有条件共享,不予开放,已挂接,199,可直接纳入首批采集，优先按表全量+增量策略实现
11,海南省农村三资科目余额信息,海南数字“三农”服务平台（一期）,农村合作经济指导处,O_HN065_SJSN_SZ_KMYEB,sz_kmyeb,172.25.111.6,有条件共享,有条件开放,已挂接,182,可直接纳入首批采集，优先按表全量+增量策略实现
12,水产农事信息,海南数字“三农”服务平台（一期）,农产品质量安全监管处,O_HN065_SJSN_T_FARM_AQUATIC_RECORD,t_farm_aquatic_record,172.25.111.6,有条件共享,不予开放,已挂接,117,可直接纳入首批采集，优先按表全量+增量策略实现
13,海南省农业种业境外引进种质资源信息,海南数字“三农”服务平台（一期）,省畜牧技术推广总站,TBL_SEED_LIVESTOCK_INTRODUCTION_INFO,tbl_seed_livestock_introduction_info,172.25.111.6,有条件共享,有条件开放,已挂接,96,可直接纳入首批采集，优先按表全量+增量策略实现
14,乡村治理阳光村务管理信息,海南数字“三农”服务平台（一期）,海南省现代农业检验检测预警防控中心,O_HN065_SJSN_TBL_RURALGOVERNANCE_VILLAGE_MANAGE_DAT,tbl_ruralgovernance_village_manage_dat,172.25.111.6,有条件共享,有条件开放,已挂接,145,可直接纳入首批采集，优先按表全量+增量策略实现
15,海南省驯养繁殖许可证信息,海南数字“三农”服务平台（一期）,渔业基础建设处,O_HN065_SJSN_YY_DOMESTIC_BREEDING_LICENSE,yy_domestic_breeding_license,172.25.111.6,有条件共享,不予开放,已挂接,85,可直接纳入首批采集，优先按表全量+增量策略实现
16,海南省农作物品种行业信息,海南数字“三农”服务平台（一期）,种业管理处,O_HN065_SJSN_TBL_SEED_CROP_VARIETY_INDUSTRY_INFO,tbl_seed_crop_variety_industry_info,172.25.111.6,有条件共享,有条件开放,已挂接,92,可直接纳入首批采集，优先按表全量+增量策略实现
17,海南省农业种业人员信息,海南数字“三农”服务平台（一期）,种业管理处,O_HN065_SJSN_TBL_SEED_CROP_ORG_USER_INFO,tbl_seed_crop_org_user_info,172.25.111.6,有条件共享,不予开放,已挂接,89,可直接纳入首批采集，优先按表全量+增量策略实现
18,海南省农业种业品种审定信息,海南数字“三农”服务平台（一期）,种业管理处,TBL_SEED_CROP_VARIETY_EXAMINED_INFO,tbl_seed_crop_variety_examined_info,172.25.111.6,有条件共享,有条件开放,已挂接,91,可直接纳入首批采集，优先按表全量+增量策略实现
19,一村一档教育设施信息,海南数字“三农”服务平台（一期）,海南省现代农业检验检测预警防控中心,O_HN065_SJSN_TBL_VILLAGEFILE_EDUCATION_FACILITY_DAT,tbl_villagefile_education_facility_dat,172.25.111.6,有条件共享,有条件开放,已挂接,130,可直接纳入首批采集，优先按表全量+增量策略实现
20,一村一档农户档案信息,海南数字“三农”服务平台（一期）,海南省现代农业检验检测预警防控中心,O_HN065_SJSN_TBL_VILLAGEFILE_SOCIAL_GUARANTEE_DAT,tbl_villagefile_social_guarantee_dat,172.25.111.6,有条件共享,不予开放,已挂接,138,可直接纳入首批采集，优先按表全量+增量策略实现
21,肥料使用情况信息,海南数字“三农”服务平台（一期）,种植业管理处,AGRO_FERTILIZER_USE,agro_fertilizer_use,172.21.128.23,有条件共享,有条件开放,已挂接,76,可直接纳入首批采集，优先按表全量+增量策略实现
22,乡村治理发起项目明细信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_FLOW_DETAIL,tbl_flow_detail,172.25.111.6,有条件共享,有条件开放,已挂接,148,可直接纳入首批采集，优先按表全量+增量策略实现
23,海南省野生动物经营利用许可证信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_YY_BUSINESS_LICENSE,yy_business_license,172.25.111.6,有条件共享,有条件开放,已挂接,84,可直接纳入首批采集，优先按表全量+增量策略实现
24,乡村治理创先争优信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_RURALGOVERNANCE_PARTY_HONOR_DAT,tbl_ruralgovernance_party_honor_dat,172.25.111.6,有条件共享,有条件开放,已挂接,140,可直接纳入首批采集，优先按表全量+增量策略实现
25,乡村治理人口流动性登记信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_RURALGOVERNANCE_VILLAGE_POPULATION_SHIFT_DAT,tbl_ruralgovernance_village_population_shift_dat,172.25.111.6,有条件共享,有条件开放,已挂接,146,可直接纳入首批采集，优先按表全量+增量策略实现
26,海南省农村三资集体经济组织信息,海南数字“三农”服务平台（一期）,,SYS_JJZZ,sys_jjzz,172.25.111.6,有条件共享,有条件开放,已挂接,156,可直接纳入首批采集，优先按表全量+增量策略实现
27,一村一档种植作物信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_VILLAGEFILE_PLANT_CROP_DAT,tbl_villagefile_plant_crop_dat,172.25.111.6,有条件共享,有条件开放,已挂接,134,可直接纳入首批采集，优先按表全量+增量策略实现
28,海南省种畜禽生产经营企业信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_SEED_LIVESTOCK_ENTERPRISE_INFO,tbl_seed_livestock_enterprise_info,172.25.111.6,有条件共享,有条件开放,已挂接,95,可直接纳入首批采集，优先按表全量+增量策略实现
29,一户一档农户资产状况分布信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_CMS_ASSETS_DAT,tbl_cms_assets_dat,172.25.111.6,有条件共享,有条件开放,已挂接,204,可直接纳入首批采集，优先按表全量+增量策略实现
30,基层种子管理机构信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_SEED_CROP_ORG_INFO,tbl_seed_crop_org_info,172.25.111.6,有条件共享,有条件开放,已挂接,89,可直接纳入首批采集，优先按表全量+增量策略实现
31,肥料销售情况信息,海南数字“三农”服务平台（一期）,,AGRO_FERTILIZER_SALE,agro_fertilizer_sale,172.21.128.23,有条件共享,有条件开放,已挂接,76,可直接纳入首批采集，优先按表全量+增量策略实现
32,一村一档乡村企业信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_VILLAGEFILE_ENTERPRISE_DAT,tbl_villagefile_enterprise_dat,172.25.111.6,有条件共享,有条件开放,已挂接,131,可直接纳入首批采集，优先按表全量+增量策略实现
33,海南省农产品种植主体信息,海南数字“三农”服务平台（一期）,,AGRO_PLANT_MAIN,agro_plant_main,172.21.128.23,有条件共享,有条件开放,已挂接,75,可直接纳入首批采集，优先按表全量+增量策略实现
34,一户一档乡村人员组织管理信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_CMS_VILLAGE_PERSONNEL_DAT,tbl_cms_village_personnel_dat,172.25.111.6,有条件共享,不予开放,已挂接,199,可直接纳入首批采集，优先按表全量+增量策略实现
35,海南省农村三资合同资产信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_SZ_ASSETS_CONTRACT,sz_assets_contract,172.25.111.6,有条件共享,不予开放,已挂接,167,可直接纳入首批采集，优先按表全量+增量策略实现
36,海南省农村三资出纳信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_SZ_CASHIER_ACCOUNT,sz_cashier_account,172.25.111.6,有条件共享,不予开放,已挂接,171,可直接纳入首批采集，优先按表全量+增量策略实现
37,保存基地信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_T_FARM_BASE,t_farm_base,172.25.111.6,有条件共享,有条件开放,已挂接,118,可直接纳入首批采集，优先按表全量+增量策略实现
38,新型技术推广信息,海南数字“三农”服务平台（一期）,,AGRO_FERTILIZER_TECH,agro_fertilizer_tech,172.21.128.23,有条件共享,不予开放,已挂接,77,可直接纳入首批采集，优先按表全量+增量策略实现
39,海南省农产品需求信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_PLATFORM_PUBLISH_INFO,tbl_platform_publish_info,172.25.111.6,无条件共享,无条件开放,已挂接,257,可直接纳入首批采集，优先按表全量+增量策略实现
40,乡村治理党员管理信息,海南数字“三农”服务平台（一期）,,TBL_RURALGOVERNANCE_PARTY_MEMBER_DAT,tbl_ruralgovernance_party_member_dat,172.25.111.6,有条件共享,不予开放,已挂接,143,可直接纳入首批采集，优先按表全量+增量策略实现
41,海南省畜禽遗传资源基因库信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_SEED_LIVESTOCK_GENE_INFO,tbl_seed_livestock_gene_info,172.25.111.6,有条件共享,有条件开放,已挂接,96,可直接纳入首批采集，优先按表全量+增量策略实现
42,海南省渔港信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_YY_FISHING_PORT,yy_fishing_port,172.25.111.6,有条件共享,有条件开放,已挂接,86,可直接纳入首批采集，优先按表全量+增量策略实现
43,一村一档卫生设施信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_VILLAGEFILE_HEALTH_FACILITY_DAT,tbl_villagefile_health_facility_dat,172.25.111.6,有条件共享,有条件开放,已挂接,132,可直接纳入首批采集，优先按表全量+增量策略实现
44,海南省农村三资资产资源信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_SZ_ASSETS,sz_assets,172.25.111.6,有条件共享,有条件开放,已挂接,162,可直接纳入首批采集，优先按表全量+增量策略实现
45,休渔制度信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_YY_FISHING_RULES,yy_fishing_rules,172.25.111.6,有条件共享,有条件开放,已挂接,86,可直接纳入首批采集，优先按表全量+增量策略实现
46,乡村治理通知公告信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_RURALGOVERNANCE_PARTY_NOTICE_DAT,tbl_ruralgovernance_party_notice_dat,172.25.111.6,有条件共享,有条件开放,已挂接,143,可直接纳入首批采集，优先按表全量+增量策略实现
47,一户一档自然人信用信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_CMS_CREDIT_DAT,tbl_cms_credit_dat,172.25.111.6,有条件共享,不予开放,已挂接,204,可直接纳入首批采集，优先按表全量+增量策略实现
48,海南省农作物种质资源库信息,海南数字“三农”服务平台（一期）,,TBL_SEED_CROP_VARIETY_RESOURCES_INFO,tbl_seed_crop_variety_resources_info,172.25.111.6,有条件共享,有条件开放,已挂接,94,可直接纳入首批采集，优先按表全量+增量策略实现
49,海南省农业种业品种认定信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_SEED_CROP_VARIETY_IDENTIFY_INFO,tbl_seed_crop_variety_identify_info,172.25.111.6,有条件共享,有条件开放,已挂接,91,可直接纳入首批采集，优先按表全量+增量策略实现
50,海南省种子质量检测机构信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_SEED_CROP_QUALITY_INSPECTION_INFO,tbl_seed_crop_quality_inspection_info,172.25.111.6,有条件共享,有条件开放,已挂接,90,可直接纳入首批采集，优先按表全量+增量策略实现
51,一村一档特色产业信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_VILLAGEFILE_FEATURE_INDUSTRY_DAT,tbl_villagefile_feature_industry_dat,172.25.111.6,有条件共享,有条件开放,已挂接,132,可直接纳入首批采集，优先按表全量+增量策略实现
52,海南省农业种业测序数据库信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_SEED_LIVESTOCK_SEQUENCE_INFO,tbl_seed_livestock_sequence_info,172.25.111.6,有条件共享,有条件开放,已挂接,98,可直接纳入首批采集，优先按表全量+增量策略实现
53,一村一档矿产资源信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_VILLAGEFILE_ORE_RESOURCES_DAT,tbl_villagefile_ore_resources_dat,172.25.111.6,有条件共享,不予开放,已挂接,133,可直接纳入首批采集，优先按表全量+增量策略实现
54,海南省农业种业品种登记信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_SEED_CROP_VARIETY_REGISTER_INFO,tbl_seed_crop_variety_register_info,172.25.111.6,有条件共享,有条件开放,已挂接,93,可直接纳入首批采集，优先按表全量+增量策略实现
55,乡村治理党组织机构信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_RURALGOVERNANCE_PARTY_ORGANIZATION_DAT,tbl_ruralgovernance_party_organization_dat,172.25.111.6,有条件共享,有条件开放,已挂接,144,可直接纳入首批采集，优先按表全量+增量策略实现
56,一村一档乡村档案信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_VILLAGEFILE_RECORD_DAT,tbl_villagefile_record_dat,172.25.111.6,有条件共享,有条件开放,已挂接,135,可直接纳入首批采集，优先按表全量+增量策略实现
57,乡村治理积分排名信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_RURALGOVERNANCE_PARTY_INTEGRAL_DAT,tbl_ruralgovernance_party_integral_dat,172.21.128.23,有条件共享,有条件开放,已挂接,141,可直接纳入首批采集，优先按表全量+增量策略实现
58,一村一档经济林果信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_VILLAGEFILE_ECONOMIC_FRUIT_DAT,tbl_villagefile_economic_fruit_dat,172.25.111.6,有条件共享,有条件开放,已挂接,130,可直接纳入首批采集，优先按表全量+增量策略实现
59,一村一档产业信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_VILLAGEFILE_DEVELOP_INDUSTRY_DAT,tbl_villagefile_develop_industry_dat,172.25.111.6,有条件共享,有条件开放,已挂接,129,可直接纳入首批采集，优先按表全量+增量策略实现
60,海南省生猪价格(出栏价）信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_AGRO_PLAN_PIGPRICE_R,agro_plan_pigprice_r,172.25.111.6,有条件共享,有条件开放,已挂接,230,可直接纳入首批采集，优先按表全量+增量策略实现
61,农药数据信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_T_MINI_PESTICIDE1,t_mini_pesticide1,172.25.111.6,有条件共享,有条件开放,已挂接,,PDF 未定位到定义，需先做数据库实查和字段核对
62,农业防灾减灾疫苗接种信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_DISASTER_VACCINES_ANALYSIS_DAT,tbl_disaster_vaccines_analysis_dat,172.25.111.6,有条件共享,有条件开放,已挂接,,PDF 未定位到定义，需先做数据库实查和字段核对
63,畜牧农事信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_T_FARM_BREED_RECORD,t_farm_breed_record,172.25.111.6,有条件共享,不予开放,已挂接,119,可直接纳入首批采集，优先按表全量+增量策略实现
64,数字三农保险产品信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_CONSOLE_INSURE,tbl_console_insure,172.25.111.6,有条件共享,有条件开放,已挂接,5,可直接纳入首批采集，优先按表全量+增量策略实现
65,海南畜牧业产量（出栏量）信息,海南数字“三农”服务平台（一期）,,AGRO_PROD_INDUSTRY_ANIMAL,agro_prod_industry_animal,172.25.111.6,有条件共享,有条件开放,已挂接,230,可直接纳入首批采集，优先按表全量+增量策略实现
66,数字三农地标信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_PLATFORM_GEOINDICATION_DAT,tbl_platform_geoindication_dat,172.25.111.6,有条件共享,有条件开放,已挂接,263,可直接纳入首批采集，优先按表全量+增量策略实现
67,数字三农服务售卖点信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_PLATFORM_SERVICE_POINT_INFO,tbl_platform_service_point_info,172.25.111.6,有条件共享,有条件开放,已挂接,259,可直接纳入首批采集，优先按表全量+增量策略实现
68,数字三农资讯信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_CMS_ARTICLE_DAT,tbl_cms_article_dat,172.25.111.6,有条件共享,有条件开放,已挂接,208,可直接纳入首批采集，优先按表全量+增量策略实现
69,合格证查验记录数据信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_T_MARA_QUALIFIEDCERT_INSPECT,t_mara_qualifiedcert_inspect,172.25.111.6,有条件共享,不予开放,已挂接,114,可直接纳入首批采集，优先按表全量+增量策略实现
70,海南省土地承包情况统计信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_AGRO_ECO_CONTRACT_C,agro_eco_contract_c,172.25.111.6,有条件共享,有条件开放,已挂接,,PDF 未定位到定义，需先做数据库实查和字段核对
71,海南省早稻生产统计信息,海南数字“三农”服务平台（一期）,,RICE_EARLY,rice_early,10.111.162.138,有条件共享,不予开放,已挂接,238,可直接纳入首批采集，优先按表全量+增量策略实现
72,数字三农专家信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_PLATFORM_PROFICIENT_INFO,tbl_platform_proficient_info,172.25.111.6,有条件共享,不予开放,已挂接,255,可直接纳入首批采集，优先按表全量+增量策略实现
73,海南省农产品企业主体信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_T_MARA_ENTERPRISE,t_mara_enterprise,172.25.111.6,有条件共享,不予开放,已挂接,111,可直接纳入首批采集，优先按表全量+增量策略实现
74,海南省瓜菜生产统计信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_MELON,melon,172.25.111.6,有条件共享,有条件开放,已挂接,240,可直接纳入首批采集，优先按表全量+增量策略实现
75,合格证产品销售数据信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_T_MARA_SALE,t_mara_sale,172.25.111.6,有条件共享,不予开放,已挂接,115,可直接纳入首批采集，优先按表全量+增量策略实现
76,海南省热带经济作物生产统计信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_419250AD_2790_6247_8D37_0A5B31A9B063,419250ad_2790_6247_8d37_0a5b31a9b063,172.25.111.6,有条件共享,有条件开放,已挂接,,表名疑似系统生成对象，需先到库中核实真实业务含义和主键
77,数字三农信贷产品信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_CONSOLE_CREDIT,tbl_console_credit,172.25.111.6,有条件共享,有条件开放,已挂接,5,可直接纳入首批采集，优先按表全量+增量策略实现
78,畜牧业畜产品养殖规模信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_DATAANALYSEP_ANIMAL_PRODUCTS_DAT,tbl_dataanalysep_animal_products_dat,172.21.128.23,有条件共享,有条件开放,已挂接,,PDF 未定位到定义，需先做数据库实查和字段核对
79,畜牧业生猪市场供需信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_DATAANALYSEP_PIG_SUPPLY_DAT,tbl_dataanalysep_pig_supply_dat,172.21.128.23,有条件共享,有条件开放,已挂接,,PDF 未定位到定义，需先做数据库实查和字段核对
80,海南省畜产品及饲价格信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_AGRO_PROD_FEED_PROVINCE,agro_prod_feed_province,172.21.128.23,有条件共享,有条件开放,已挂接,232,可直接纳入首批采集，优先按表全量+增量策略实现
