目录ID,信息资源名称,所属系统名称,对应处室,目标表,标准化表名,数据库所在IP地址,共享属性,开放属性,是否已挂接,PDF匹配页,提取建议
81,种植结构信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_PLANTANALYSIS_DAT,tbl_plantanalysis_dat,172.25.111.6,有条件共享,有条件开放,已挂接,,PDF 未定位到定义，需先做数据库实查和字段核对
82,海南省中晚稻生产统计信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_RICE_LATE,rice_late,172.25.111.6,有条件共享,不予开放,已挂接,238,可直接纳入首批采集，优先按表全量+增量策略实现
83,海南省农产品企业主体扩展信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_T_MARA_ENTERPRISE_EXTEND,t_mara_enterprise_extend,172.25.111.6,有条件共享,有条件开放,已挂接,125,可直接纳入首批采集，优先按表全量+增量策略实现
84,海南省热带水果生产统计信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_1C93DA0F_112D_3D9A_816C_B5C1131AF6E0,1c93da0f_112d_3d9a_816c_b5c1131af6e0,172.25.111.6,有条件共享,有条件开放,已挂接,,表名疑似系统生成对象，需先到库中核实真实业务含义和主键
85,数字三农灾情上报信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_PLATFORM_DISASTER_REPORT_INFO,tbl_platform_disaster_report_info,172.25.111.6,有条件共享,有条件开放,已挂接,5,可直接纳入首批采集，优先按表全量+增量策略实现
86,海南省肉鸡生产统计信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TB_MEAT_CHICKEN,tb_meat_chicken,172.25.111.6,有条件共享,有条件开放,已挂接,232,可直接纳入首批采集，优先按表全量+增量策略实现
87,海南省资产负载汇总信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TB_ASSET_LIABILITY,tb_asset_liability,172.25.111.6,有条件共享,有条件开放,已挂接,,PDF 未定位到定义，需先做数据库实查和字段核对
88,数字三农投诉建议信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_PLATFORM_COMPLAINT_SUGGESTIONS_DAT,tbl_platform_complaint_suggestions_dat,172.25.111.6,有条件共享,不予开放,已挂接,5,可直接纳入首批采集，优先按表全量+增量策略实现
89,海南省农产品农村合作社信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_MP_RURAL_COOPERATE,mp_rural_cooperate,172.25.111.6,有条件共享,有条件开放,已挂接,225,可直接纳入首批采集，优先按表全量+增量策略实现
90,数字三农医院信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_PLATFORM_HOSPITAL_INFO,tbl_platform_hospital_info,172.25.111.6,有条件共享,有条件开放,已挂接,,PDF 未定位到定义，需先做数据库实查和字段核对
91,主体立信记录信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_T_MARA_CREDIT_RECORD,t_mara_credit_record,172.25.111.6,有条件共享,不予开放,已挂接,109,可直接纳入首批采集，优先按表全量+增量策略实现
92,海南省农产品质量安全合格证开具数量信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_QS_RES_CERTIFICATE,qs_res_certificate,172.25.111.6,有条件共享,有条件开放,已挂接,233,可直接纳入首批采集，优先按表全量+增量策略实现
93,海南省龙头企业信息,海南数字“三农”服务平台（一期）,,MP_LEAD_COMPANY,mp_lead_company,172.21.128.23,有条件共享,有条件开放,已挂接,223,可直接纳入首批采集，优先按表全量+增量策略实现
94,畜牧业生猪养殖成本信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_DATAANALYSEP_PIG_PRODUCTIONCOST_DAT,tbl_dataanalysep_pig_productioncost_dat,172.25.111.6,有条件共享,有条件开放,已挂接,,PDF 未定位到定义，需先做数据库实查和字段核对
95,数字三农有机农产品认证信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_PLATFORM_ORGANICFOOD_DAT,tbl_platform_organicfood_dat,172.25.111.6,有条件共享,有条件开放,已挂接,264,可直接纳入首批采集，优先按表全量+增量策略实现
96,数字三农急救医疗知识库信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_PLATFORM_MEDICAL_DAT,tbl_platform_medical_dat,172.25.111.6,有条件共享,有条件开放,已挂接,255,可直接纳入首批采集，优先按表全量+增量策略实现
97,数字三农咨询答复信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_PLATFORM_PROFICIENT_CONSULTATION_INFO,tbl_platform_proficient_consultation_info,172.25.111.6,有条件共享,有条件开放,已挂接,256,可直接纳入首批采集，优先按表全量+增量策略实现
98,数字三农绿色食品公示信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_PLATFORM_GREENFOOD_DAT,tbl_platform_greenfood_dat,172.25.111.6,有条件共享,有条件开放,已挂接,263,可直接纳入首批采集，优先按表全量+增量策略实现
99,数字三农绿色食品信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_MP_GREEN_FOOD,mp_green_food,172.25.111.6,有条件共享,有条件开放,已挂接,222,可直接纳入首批采集，优先按表全量+增量策略实现
100,种植检测报告样品数据信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_T_MARA_CHECK_REPORT_SAMPLE,t_mara_check_report_sample,172.25.111.6,有条件共享,有条件开放,已挂接,107,可直接纳入首批采集，优先按表全量+增量策略实现
101,海南省农产品合格证数据信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_T_MARA_QUALIFIEDCERT,t_mara_qualifiedcert,172.25.111.6,有条件共享,有条件开放,已挂接,112,可直接纳入首批采集，优先按表全量+增量策略实现
102,农贸市场字典信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_T_MARA_FARMER_MARKET,t_mara_farmer_market,172.25.111.6,有条件共享,有条件开放,已挂接,126,可直接纳入首批采集，优先按表全量+增量策略实现
103,海南省农产品质量安全合格证主体信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_QS_RES_CERTIFICATE_DETAIL,qs_res_certificate_detail,172.25.111.6,有条件共享,有条件开放,已挂接,,PDF 未定位到定义，需先做数据库实查和字段核对
104,海南省豆类产统计信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_BEANS,beans,172.25.111.6,有条件共享,有条件开放,已挂接,239,可直接纳入首批采集，优先按表全量+增量策略实现
105,三农一张图地标信息,海南数字“三农”服务平台（一期）,,MP_GEO_MARK,mp_geo_mark,10.111.162.138,有条件共享,有条件开放,已挂接,222,可直接纳入首批采集，优先按表全量+增量策略实现
106,记录种植农事信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_T_FARM_PLANT_RECORD,t_farm_plant_record,172.25.111.6,有条件共享,不予开放,已挂接,122,可直接纳入首批采集，优先按表全量+增量策略实现
107,数字三农办事指南信息,海南数字“三农”服务平台（一期）,,TBL_PLATFORM_SERVICE_GUIDE_DAT,tbl_platform_service_guide_dat,172.25.111.6,有条件共享,有条件开放,已挂接,5,可直接纳入首批采集，优先按表全量+增量策略实现
108,海南省农产品合格证编号表信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_T_MARA_QUALIFIEDCERT_EXTEND,t_mara_qualifiedcert_extend,172.25.111.6,有条件共享,有条件开放,已挂接,114,可直接纳入首批采集，优先按表全量+增量策略实现
109,农业防灾减灾防疫工作量信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_DISASTER_WORK_ANALYSIS_DAT,tbl_disaster_work_analysis_dat,172.25.111.6,有条件共享,有条件开放,已挂接,,PDF 未定位到定义，需先做数据库实查和字段核对
110,海南省家庭农场统计信息,海南数字“三农”服务平台（一期）,,AGRO_PLAN_FAMILY_FARM_B,agro_plan_family_farm_b,172.21.128.23,有条件共享,不予开放,已挂接,229,可直接纳入首批采集，优先按表全量+增量策略实现
111,海南省糖料生产统计信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_SUGAR,sugar,172.25.111.6,有条件共享,有条件开放,已挂接,239,可直接纳入首批采集，优先按表全量+增量策略实现
112,海南省粮食生产统计信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_FOOD,food,172.25.111.6,有条件共享,有条件开放,已挂接,222,可直接纳入首批采集，优先按表全量+增量策略实现
113,数字三农知识库信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_PLATFORM_KNOWLEDGE_LIBRARY_INFO,tbl_platform_knowledge_library_info,172.25.111.6,有条件共享,有条件开放,已挂接,,PDF 未定位到定义，需先做数据库实查和字段核对
114,主体变码记录信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_T_MARA_CODE_RECORD,t_mara_code_record,172.25.111.6,有条件共享,有条件开放,已挂接,124,可直接纳入首批采集，优先按表全量+增量策略实现
115,海南省番薯生产统计信息,海南数字“三农”服务平台（一期）,,SWEET_POTATOES,sweet_potatoes,172.25.111.6,有条件共享,有条件开放,已挂接,239,可直接纳入首批采集，优先按表全量+增量策略实现
116,海南省农产品质量安全合格证打印信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_QS_RES_CERTIFICATE_PRINT,qs_res_certificate_print,172.25.111.6,有条件共享,有条件开放,已挂接,233,可直接纳入首批采集，优先按表全量+增量策略实现
117,海南省油料生产统计信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_OLI,oli,172.25.111.6,有条件共享,有条件开放,已挂接,107,可直接纳入首批采集，优先按表全量+增量策略实现
118,水产检测报告数据信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_T_MARA_CHECK_REPORT_AQUATIC,t_mara_check_report_aquatic,172.25.111.6,有条件共享,有条件开放,已挂接,107,可直接纳入首批采集，优先按表全量+增量策略实现
119,海南省产权改革统计信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_AGRO_ECO_RIGHT,agro_eco_right,172.25.111.6,有条件共享,有条件开放,已挂接,,PDF 未定位到定义，需先做数据库实查和字段核对
120,水产检测报告明细数据信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_T_MARA_CHECK_REPORT_AQUATIC_ITEM,t_mara_check_report_aquatic_item,172.25.111.6,有条件共享,有条件开放,已挂接,109,可直接纳入首批采集，优先按表全量+增量策略实现
121,海南农民专业合作社信息,海南数字“三农”服务平台（一期）,,SS_SYS_DICT,ss_sys_dict,172.25.111.6,有条件共享,有条件开放,已挂接,237,可直接纳入首批采集，优先按表全量+增量策略实现
122,种植检测报告数据信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_T_MARA_CHECK_REPORT,t_mara_check_report,172.25.111.6,有条件共享,有条件开放,已挂接,106,可直接纳入首批采集，优先按表全量+增量策略实现
123,农业防灾减灾防疫奖励信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_DISASTER_REWARD_ANALYSIS_DAT,tbl_disaster_reward_analysis_dat,172.25.111.6,有条件共享,有条件开放,已挂接,,PDF 未定位到定义，需先做数据库实查和字段核对
124,农业防灾减灾病虫害数据信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_TBL_DISASTER_PREVENTION_ANALYSIS_DAT,tbl_disaster_prevention_analysis_dat,172.25.111.6,有条件共享,不予开放,已挂接,,PDF 未定位到定义，需先做数据库实查和字段核对
125,海南省农产品合格证产品信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_T_MARA_QUALIFIEDCERT_PRO,t_mara_qualifiedcert_pro,172.25.111.6,有条件共享,有条件开放,已挂接,114,可直接纳入首批采集，优先按表全量+增量策略实现
126,海南省生猪规模养殖场信息,海南数字“三农”服务平台（一期）,,AGRO_PLAN_PIGFORM_B,agro_plan_pigform_b,172.21.128.23,有条件共享,不予开放,已挂接,242,可直接纳入首批采集，优先按表全量+增量策略实现
127,海南省撂荒地恢复生产情况统计信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_LAND_RESTORE,land_restore,172.25.111.6,有条件共享,有条件开放,已挂接,242,可直接纳入首批采集，优先按表全量+增量策略实现
128,农产品品牌信息,海南数字“三农”服务平台（一期）,,O_HN065_SJSN_T_FARM_BRAND,t_farm_brand,172.25.111.6,有条件共享,有条件开放,已挂接,119,可直接纳入首批采集，优先按表全量+增量策略实现
129,农户档案管理详情表信息,海南数字“三农”服务平台（一期）,,TBL_CMS_USER_ARCHIVES_MANAGE_DAT,tbl_cms_user_archives_manage_dat,172.21.128.23,有条件共享,不予开放,已挂接,199,可直接纳入首批采集，优先按表全量+增量策略实现
130,领导视窗_种业信息,海南数字“三农”服务平台（一期）,,TB_BIG_SEED,tb_big_seed,172.21.199.156,有条件共享,不予开放,已挂接,,PDF 未定位到定义，需先做数据库实查和字段核对
131,领导视窗_农村产权交易信息,海南数字“三农”服务平台（一期）,,TB_EQUITY_TRANS,tb_equity_trans,172.21.199.156,有条件共享,不予开放,已挂接,,PDF 未定位到定义，需先做数据库实查和字段核对
132,领导视窗_两品一标（农产品认证）信息,海南数字“三农”服务平台（一期）,,MP_ORGANIC_PRODUCT,mp_organic_product,172.21.199.156,有条件共享,不予开放,已挂接,224,可直接纳入首批采集，优先按表全量+增量策略实现
133,领导视窗_主要水产苗种信息,海南数字“三农”服务平台（一期）,,FISHERY_RES_AQUATIC_FRY,fishery_res_aquatic_fry,172.21.199.156,有条件共享,不予开放,已挂接,226,可直接纳入首批采集，优先按表全量+增量策略实现
134,领导视窗_早稻生产信息,海南数字“三农”服务平台（一期）,,RICE_EARLY,rice_early,172.21.199.156,有条件共享,不予开放,已挂接,238,可直接纳入首批采集，优先按表全量+增量策略实现
135,领导视窗_产权改革信息,海南数字“三农”服务平台（一期）,,AGRO_ECO_RIGHT,agro_eco_right,172.21.199.156,有条件共享,不予开放,已挂接,,PDF 未定位到定义，需先做数据库实查和字段核对
136,领导视窗_渔业船舶统计、休闲渔业信息,海南数字“三农”服务平台（一期）,,FISHERY_RES_COMMON,fishery_res_common,172.21.199.156/10.111.162.133,有条件共享,不予开放,已挂接,227,可直接纳入首批采集，优先按表全量+增量策略实现
137,领导视窗_油料生产信息,海南数字“三农”服务平台（一期）,,OLI,oli,172.21.199.156,有条件共享,不予开放,已挂接,107,可直接纳入首批采集，优先按表全量+增量策略实现
138,领导视窗_家庭农场统计信息,海南数字“三农”服务平台（一期）,,AGRO_PLAN_FAMILY_FARM_B,agro_plan_family_farm_b,172.21.199.156,有条件共享,不予开放,已挂接,229,可直接纳入首批采集，优先按表全量+增量策略实现
139,领导视窗_乡镇政府数信息,海南数字“三农”服务平台（一期）,,TB_BIG_TOWN,tb_big_town,10.111.162.138,有条件共享,不予开放,已挂接,,PDF 未定位到定义，需先做数据库实查和字段核对
140,领导视窗_资产情况（地图）信息,海南数字“三农”服务平台（一期）,,TB_ASSET_LIABILITY,tb_asset_liability,172.21.199.156,有条件共享,不予开放,已挂接,,PDF 未定位到定义，需先做数据库实查和字段核对
141,领导视窗_冬春瓜菜生产信息,海南数字“三农”服务平台（一期）,,MELON,melon,172.21.199.156,有条件共享,不予开放,已挂接,240,可直接纳入首批采集，优先按表全量+增量策略实现
142,领导视窗_豆类生产信息,海南数字“三农”服务平台（一期）,,BEANS,beans,172.21.199.156,有条件共享,不予开放,已挂接,239,可直接纳入首批采集，优先按表全量+增量策略实现
143,领导视窗_乡村总户数信息,海南数字“三农”服务平台（一期）,,AGRO_ECO_RURAL_P,agro_eco_rural_p,172.21.199.156,有条件共享,不予开放,已挂接,,PDF 未定位到定义，需先做数据库实查和字段核对
144,领导视窗_市县发包承包数信息,海南数字“三农”服务平台（一期）,,TB_RURAL_MANAGE,tb_rural_manage,172.21.199.156,有条件共享,不予开放,已挂接,,PDF 未定位到定义，需先做数据库实查和字段核对
145,领导视窗_农民专业合作社信息,海南数字“三农”服务平台（一期）,,SS_SYS_DICT,ss_sys_dict,172.21.199.156,有条件共享,不予开放,已挂接,237,可直接纳入首批采集，优先按表全量+增量策略实现
146,领导视窗_检疫出证实时情况（产品B）信息,海南数字“三农”服务平台（一期）,,V_CP_CHUZHENG_B,v_cp_chuzheng_b,172.21.199.156,有条件共享,不予开放,已挂接,,疑似视图对象，建议先确认其基础表和刷新方式
147,领导视窗_合格证主体信息,海南数字“三农”服务平台（一期）,,QS_RES_CERTIFICATE_DETAIL,qs_res_certificate_detail,172.21.199.156,有条件共享,不予开放,已挂接,,PDF 未定位到定义，需先做数据库实查和字段核对
148,领导视窗_养殖面积信息,海南数字“三农”服务平台（一期）,,FISHERY_RES_FARMING_AREA,fishery_res_farming_area,172.21.199.156,有条件共享,不予开放,已挂接,229,可直接纳入首批采集，优先按表全量+增量策略实现
149,领导视窗_村民委员会信息,海南数字“三农”服务平台（一期）,,AGRO_ECO_RURAL_B,agro_eco_rural_b,10.111.162.133,有条件共享,不予开放,已挂接,,PDF 未定位到定义，需先做数据库实查和字段核对
150,领导视窗_两品一标（地理标志）信息,海南数字“三农”服务平台（一期）,,MP_GEO_MARK,mp_geo_mark,172.21.199.156,有条件共享,不予开放,已挂接,222,可直接纳入首批采集，优先按表全量+增量策略实现
151,领导视窗_渔业生产信息,海南数字“三农”服务平台（一期）,,FISHERY_RES_AQUATIC_YIELD,fishery_res_aquatic_yield,172.21.199.156,有条件共享,不予开放,已挂接,227,可直接纳入首批采集，优先按表全量+增量策略实现
152,领导视窗_出岛情况（地图）信息,海南数字“三农”服务平台（一期）,,PLR_DETECT_REPORT_INFO,plr_detect_report_info,172.21.199.156,有条件共享,不予开放,已挂接,101,可直接纳入首批采集，优先按表全量+增量策略实现
153,领导视窗_出岛情况（地图2）信息,海南数字“三农”服务平台（一期）,,PLR_DETECT_PRODUCT_INFO2,plr_detect_product_info2,172.21.199.156,有条件共享,不予开放,已挂接,102,可直接纳入首批采集，优先按表全量+增量策略实现
154,领导视窗_检疫出证实时情况（动物B）信息,海南数字“三农”服务平台（一期）,,V_CD_CHUZHENG_B,v_cd_chuzheng_b,172.21.199.156,有条件共享,不予开放,已挂接,,疑似视图对象，建议先确认其基础表和刷新方式
155,领导视窗_合格证打印信息,海南数字“三农”服务平台（一期）,,QS_RES_CERTIFICATE_PRINT,qs_res_certificate_print,172.21.199.156,有条件共享,不予开放,已挂接,233,可直接纳入首批采集，优先按表全量+增量策略实现
156,领导视窗_中晚稻生产信息,海南数字“三农”服务平台（一期）,,RICE_LATE,rice_late,172.21.199.156,有条件共享,不予开放,已挂接,238,可直接纳入首批采集，优先按表全量+增量策略实现
157,领导视窗_撂荒地复耕信息,海南数字“三农”服务平台（一期）,,LAND_RESTORE,land_restore,172.21.199.156,有条件共享,不予开放,已挂接,242,可直接纳入首批采集，优先按表全量+增量策略实现
158,领导视窗_两品一标（绿色食品）信息,海南数字“三农”服务平台（一期）,,MP_GREEN_FOOD,mp_green_food,172.21.199.156,有条件共享,不予开放,已挂接,222,可直接纳入首批采集，优先按表全量+增量策略实现
159,领导视窗_番薯生产信息,海南数字“三农”服务平台（一期）,,SWEET_POTATOES,sweet_potatoes,172.21.199.156,有条件共享,不予开放,已挂接,239,可直接纳入首批采集，优先按表全量+增量策略实现
160,领导视窗_农业品牌信息,海南数字“三农”服务平台（一期）,,TB_BIG_BRAND,tb_big_brand,172.21.199.156,有条件共享,不予开放,已挂接,,PDF 未定位到定义，需先做数据库实查和字段核对
161,领导视窗_粮食生产信息,海南数字“三农”服务平台（一期）,,FOOD,food,172.21.199.156,有条件共享,不予开放,已挂接,222,可直接纳入首批采集，优先按表全量+增量策略实现
162,领导视窗_热带水果生产信息,海南数字“三农”服务平台（一期）,,FRUIT,fruit,172.21.199.156,有条件共享,不予开放,已挂接,130,可直接纳入首批采集，优先按表全量+增量策略实现
163,领导视窗_农林牧渔业总产值信息,海南数字“三农”服务平台（一期）,,AGRO_PROD_MACRO_INDICES,agro_prod_macro_indices,10.111.162.133LDJSC,有条件共享,不予开放,已挂接,231,可直接纳入首批采集，优先按表全量+增量策略实现
164,领导视窗_检疫出证实时情况（产品A）信息,海南数字“三农”服务平台（一期）,,V_CP_CHUZHENG_A,v_cp_chuzheng_a,172.21.199.156,有条件共享,不予开放,已挂接,,疑似视图对象，建议先确认其基础表和刷新方式
165,领导视窗_热带经济作物生产信息,海南数字“三农”服务平台（一期）,,CROP,crop,172.21.199.156,有条件共享,不予开放,已挂接,75,可直接纳入首批采集，优先按表全量+增量策略实现
166,领导视窗_渔业总产值信息,海南数字“三农”服务平台（一期）,,FISHERY_RES_EMONOMIC_OUTPUT,fishery_res_emonomic_output,172.21.199.156,有条件共享,不予开放,已挂接,228,可直接纳入首批采集，优先按表全量+增量策略实现
167,领导视窗_检疫出证实时情况（动物A）信息,海南数字“三农”服务平台（一期）,,V_CD_CHUZHENG_A,v_cd_chuzheng_a,172.21.199.156,有条件共享,不予开放,已挂接,,疑似视图对象，建议先确认其基础表和刷新方式
168,领导视窗_渔业乡镇、村、户、人口情况信息,海南数字“三农”服务平台（一期）,,FISHERY_RES_DISTRIBUTION,fishery_res_distribution,172.21.199.156,有条件共享,不予开放,已挂接,228,可直接纳入首批采集，优先按表全量+增量策略实现
169,领导视窗_港口出岛车辆分布信息,海南数字“三农”服务平台（一期）,,LS_RES_VEHICLE,ls_res_vehicle,172.21.199.156,有条件共享,不予开放,已挂接,234,可直接纳入首批采集，优先按表全量+增量策略实现
170,领导视窗_渔业产量TOP10信息,海南数字“三农”服务平台（一期）,,TB_BIG_FISHERY,tb_big_fishery,10.111.162.138,有条件共享,不予开放,已挂接,,PDF 未定位到定义，需先做数据库实查和字段核对
171,领导视窗_种植业种类产量信息,海南数字“三农”服务平台（一期）,,TB_BIG_PLANT,tb_big_plant,172.21.199.156,有条件共享,不予开放,已挂接,,PDF 未定位到定义，需先做数据库实查和字段核对
172,领导视窗_农民收入信息,海南数字“三农”服务平台（一期）,,TB_BIG_PEASANT,tb_big_peasant,10.111.162.138,有条件共享,不予开放,已挂接,,PDF 未定位到定义，需先做数据库实查和字段核对
173,领导视窗_经营权证承包地面积信息,海南数字“三农”服务平台（一期）,,AGRO_ECO_CONTRACT_C,agro_eco_contract_c,172.21.199.156,有条件共享,不予开放,已挂接,,PDF 未定位到定义，需先做数据库实查和字段核对
174,领导视窗_农民收入（地图）信息,海南数字“三农”服务平台（一期）,,TB_BIG_INCOME,tb_big_income,10.111.162.138,有条件共享,不予开放,已挂接,,PDF 未定位到定义，需先做数据库实查和字段核对
